#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
95,Korey Lee,CHW,38,131,122,26,5,0,300.00%,1200.00%,12,7,39,1,2,1,5.50%,29.60%,0.113,0.283,0.211,0.259,0.324,0.583,0.256,57,675.3,2.63,-0.58,1.56
96,Brett Sullivan,SDP,14,47,43,10,2,0,100.00%,500.00%,5,3,8,0,1,0,6.80%,17.00%,0.128,0.262,0.233,0.286,0.361,0.647,0.282,76,999,2.29,0.1,1.95
97,Michael Pérez,BAL,9,32,29,6,1,0,100.00%,300.00%,3,3,8,0,0,0,8.30%,25.80%,0.114,0.238,0.193,0.263,0.307,0.57,0.254,60,999,1.71,-1.02,1.97
98,Kyle McCann,OAK,6,23,21,4,1,0,100.00%,200.00%,2,2,9,0,0,0,7.80%,38.30%,0.156,0.269,0.185,0.253,0.341,0.593,0.26,66,999,1.67,-0.45,2.01
99,Brian Serven,TOR,8,28,26,5,1,0,100.00%,200.00%,3,2,8,0,0,0,5.70%,29.70%,0.114,0.247,0.19,0.241,0.304,0.545,0.24,49,999,1.88,-0.54,1.99
100,Tyler Soderstrom,OAK,81,306,281,61,11,1,900.00%,2800.00%,34,19,88,2,1,0,6.30%,28.90%,0.148,0.278,0.217,0.271,0.365,0.636,0.275,76,491.9,2.89,-1.07,0.78
101,Sandy León,KCR,18,47,42,8,1,0,100.00%,500.00%,4,4,15,0,0,0,8.30%,31.30%,0.103,0.267,0.19,0.265,0.293,0.558,0.251,54,999,1.48,-1.12,1.89
102,Tomás Nido,NYM,10,30,28,6,1,0,0.00%,300.00%,3,1,8,0,0,0,4.70%,25.20%,0.076,0.281,0.217,0.256,0.293,0.549,0.243,49,999,2.23,-0.25,1.99
103,Anthony Bemboom,DET,12,28,25,5,1,0,0.00%,300.00%,2,2,6,0,0,0,8.30%,23.00%,0.051,0.269,0.203,0.274,0.254,0.529,0.242,49,999,0.35,-1.18,2.01
104,P.J. Higgins,CIN,14,43,40,9,2,0,100.00%,400.00%,4,3,12,0,0,0,7.60%,26.50%,0.121,0.295,0.226,0.291,0.347,0.638,0.282,69,999,0.84,-0.5,1.94
105,Cam Gallagher,,34,101,94,18,4,0,100.00%,800.00%,8,5,28,1,0,0,4.90%,27.70%,0.074,0.256,0.188,0.235,0.262,0.496,0.222,34,999,1.94,-0.57,1.64
