#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP,InterSD,InterSK,IntraSD
132,John Means,BAL,19,24,109,6,6,7,0,0,103,51,18,86,25,7.1,2.08,3.41,1.49,0.246,1.18,0.27,71.20%,4.18,4.64,320.9,4.2,0.48,0.57
133,Ryan Feltner,COL,20,20,101.2,5,8,5,0,0,107,61,16,85,45,7.58,3.96,1.91,1.38,0.266,1.49,0.304,65.60%,5.42,5.03,747.4,3.43,0.65,1.57
134,Erick Fedde,CHW,26,26,141.1,7,10,7,0,0,144,77,23,115,49,7.35,3.11,2.36,1.45,0.26,1.37,0.291,67.60%,4.92,4.85,369.8,9.75,0.68,1.65
135,Anthony DeSclafani,MIN,19,30,112.1,6,7,7,0,1,116,57,17,91,29,7.26,2.3,3.15,1.35,0.262,1.28,0.296,67.80%,4.6,4.47,533,2.46,-0.35,0.64
136,James Paxton,LAD,15,18,79.1,6,4,6,0,0,74,38,13,83,28,9.44,3.2,2.95,1.43,0.244,1.29,0.296,72.30%,4.29,4.37,312.9,6.06,0.86,0.18
137,Tristan Beck,SFG,14,30,103.2,5,6,3,1,2,106,52,14,84,33,7.25,2.85,2.54,1.22,0.261,1.34,0.298,69.00%,4.53,4.48,677.9,1.79,1.15,0.5
138,Robert Gasser,MIL,15,22,86,5,4,5,0,1,83,43,12,83,32,8.69,3.33,2.61,1.27,0.249,1.33,0.298,69.70%,4.48,4.45,999,2.79,-0.46,0.25
139,Ross Stripling,OAK,21,30,124.2,5,7,5,0,1,127,60,20,99,29,7.17,2.08,3.45,1.41,0.261,1.25,0.292,70.30%,4.36,4.48,515.3,2.49,0.87,0.44
140,Randy Vásquez,SDP,18,21,102.2,5,6,4,0,0,96,48,14,88,42,7.73,3.72,2.08,1.21,0.244,1.35,0.282,72.50%,4.2,4.73,557.5,3.46,1.46,0.4
141,Domingo Germán,,15,17,86,5,5,4,0,0,80,42,14,81,26,8.49,2.73,3.11,1.45,0.242,1.23,0.281,69.40%,4.41,4.51,558.9,2.68,-0.27,0.4
142,Austin Gomber,COL,26,26,138.1,7,10,9,0,0,158,84,25,96,44,6.27,2.89,2.17,1.65,0.282,1.46,0.303,66.70%,5.44,5.3,741,5.37,-0.49,2.47
143,Emmet Sheehan,LAD,16,32,98.2,6,5,4,0,1,82,48,15,109,42,9.91,3.86,2.57,1.4,0.223,1.26,0.274,70.50%,4.36,4.49,260.3,2.24,-0.77,0.39
144,Clayton Kershaw,LAD,10,10,57,4,3,4,0,0,51,24,8,57,17,9,2.64,3.41,1.23,0.237,1.2,0.287,74.00%,3.75,4,442,2.61,-0.52,0.73
145,Matt Manning,DET,21,23,108.2,6,7,6,0,0,108,55,15,80,35,6.59,2.91,2.26,1.28,0.254,1.31,0.281,68.50%,4.55,4.73,438.6,3.06,0.16,0.55
146,Max Meyer,MIA,15,16,77.1,4,5,5,0,0,75,38,10,71,29,8.22,3.36,2.45,1.16,0.25,1.34,0.297,69.70%,4.41,4.34,422.1,2.36,-0.89,0.16
147,Alek Manoah,TOR,21,23,119.1,7,8,8,0,0,110,60,17,108,50,8.11,3.75,2.16,1.31,0.241,1.34,0.28,69.70%,4.54,4.84,337.5,4.24,0.84,0.89
148,David Peterson,NYM,12,26,73.2,4,4,4,0,1,69,33,9,80,32,9.76,3.89,2.51,1.06,0.244,1.37,0.31,72.80%,4.08,4.07,672.4,5.45,-0.54,0.36
149,Michael Soroka,CHW,20,24,109,5,7,6,0,0,106,56,16,94,36,7.76,2.99,2.59,1.29,0.251,1.3,0.289,67.70%,4.62,4.6,529.6,3.34,-0.56,0.59
