#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
24,Adolis García,TEX,147,632,570,139,28,2,32,90,95,50,179,7,13,4,7.90%,28.30%,0.224,0.292,0.243,0.309,0.467,0.777,0.331,108,47.6,2.09,-0.17,1.19
25,Seiya Suzuki,CHC,135,582,511,139,28,3,22,76,75,61,130,4,8,4,10.50%,22.30%,0.195,0.32,0.271,0.351,0.466,0.817,0.35,122,112,2.25,0.19,0.33
26,Cedric Mullins,BAL,138,567,510,126,26,3,18,72,66,46,115,5,26,6,8.00%,20.30%,0.172,0.283,0.248,0.313,0.42,0.734,0.317,103,149.2,1.61,-0.51,0.9
27,Jazz Chisholm Jr.,MIA,130,544,491,121,21,4,25,78,73,43,155,5,28,7,7.90%,28.60%,0.21,0.307,0.247,0.312,0.457,0.769,0.329,105,73.1,1.83,-0.39,0.94
28,Kyle Schwarber,PHI,148,648,540,120,20,1,41,96,97,98,189,6,3,1,15.20%,29.20%,0.269,0.253,0.222,0.347,0.491,0.838,0.358,124,95,2.7,-0.85,2.14
29,Steven Kwan,CLE,140,615,545,151,28,6,5,79,51,58,62,5,17,4,9.50%,10.20%,0.099,0.303,0.277,0.349,0.376,0.725,0.32,105,218.5,3.31,-0.03,1.38
30,Chas McCormick,HOU,130,517,456,115,18,2,20,67,67,48,135,7,16,4,9.20%,26.00%,0.18,0.311,0.253,0.331,0.433,0.763,0.331,111,172.2,2.73,0.62,0.38
31,Taylor Ward,LAA,127,540,472,126,25,1,20,74,68,55,112,8,5,2,10.10%,20.70%,0.188,0.306,0.266,0.348,0.454,0.802,0.347,120,229.9,2.79,-1.44,0.33
32,James Outman,LAD,130,523,455,106,20,3,19,72,64,55,166,10,12,3,10.50%,31.80%,0.181,0.319,0.233,0.327,0.414,0.741,0.323,103,195.9,4.04,0.55,0.63
33,Byron Buxton,MIN,106,444,397,92,22,2,25,65,63,38,133,6,10,2,8.60%,30.00%,0.252,0.28,0.233,0.308,0.485,0.793,0.336,115,257.9,6.01,0.46,0.67
34,Cody Bellinger,CHC,136,599,540,140,28,2,23,83,83,48,119,4,17,4,8.00%,19.80%,0.191,0.287,0.259,0.32,0.45,0.77,0.328,107,64.4,3.82,0.86,0.4
35,Lars Nootbaar,STL,122,512,436,110,21,2,17,71,58,68,103,2,9,2,13.20%,20.10%,0.178,0.291,0.253,0.353,0.432,0.785,0.341,116,211.9,3.53,0.56,0.28
36,Daulton Varsho,TOR,139,552,498,116,24,3,23,69,68,44,128,5,15,4,7.90%,23.30%,0.195,0.267,0.233,0.3,0.428,0.728,0.313,99,218.2,3.43,-0.33,0.81
37,Tommy Edman,STL,133,542,495,129,27,4,12,72,54,36,88,6,27,5,6.60%,16.30%,0.143,0.294,0.261,0.317,0.404,0.72,0.313,96,175.1,2.45,-0.5,1.15
38,Jack Suwinski,PIT,128,519,443,101,20,2,24,65,68,65,160,5,10,3,12.50%,30.80%,0.217,0.291,0.227,0.33,0.444,0.774,0.334,108,242.6,3.02,1.64,0.82
