#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
139,Giancarlo Stanton,NYY,104,435,385,87,14,0,26,52,68,45,127,2,0,0,10.30%,29.20%,0.235,0.263,0.227,0.309,0.462,0.771,0.328,107,298,3.41,-0.41,0.94
140,Joey Gallo,WSN,109,410,346,65,12,1,22,49,52,59,159,4,2,1,14.30%,38.70%,0.228,0.258,0.187,0.31,0.416,0.726,0.316,97,515.6,2.73,-0.8,1.14
141,Kris Bryant,COL,114,484,430,114,25,1,16,62,56,44,99,7,2,1,9.20%,20.40%,0.176,0.308,0.265,0.342,0.441,0.783,0.34,98,279,3.3,-0.82,0.47
142,Tyrone Taylor,NYM,85,312,288,67,14,2,12,38,40,17,73,5,7,2,5.30%,23.50%,0.184,0.27,0.233,0.286,0.417,0.703,0.302,89,587.5,2.78,-1.3,0.78
143,Heston Kjerstad,BAL,68,256,233,60,12,2,8,31,28,16,59,4,1,0,6.30%,23.20%,0.163,0.313,0.258,0.316,0.421,0.737,0.318,104,498.3,6.83,1.1,1.17
144,Joshua Palacios,PIT,91,337,305,78,14,2,9,39,39,23,69,5,8,2,6.70%,20.60%,0.149,0.302,0.257,0.316,0.405,0.721,0.314,94,611.5,2.64,-1.26,0.98
145,Rob Refsnyder,BOS,63,225,194,51,10,1,4,28,24,25,51,4,4,1,11.00%,22.60%,0.125,0.33,0.26,0.352,0.385,0.737,0.327,101,999,2.85,-0.34,1.37
146,Jasson Domínguez,NYY,42,179,159,38,7,1,5,24,20,18,47,1,7,1,10.10%,26.40%,0.153,0.311,0.242,0.322,0.395,0.717,0.313,96,420.4,4.27,0.17,1.45
147,Jonny DeLuca,TBR,94,305,276,64,14,2,10,35,35,22,64,4,6,1,7.40%,21.10%,0.175,0.264,0.232,0.297,0.407,0.704,0.303,90,564.2,4.21,-0.7,0.86
148,Joey Wiemer,MIL,70,257,231,53,11,1,8,31,29,22,72,3,8,2,8.50%,27.90%,0.16,0.291,0.228,0.301,0.387,0.688,0.3,86,522.1,4.68,0.8,1.1
149,Whit Merrifield,PHI,101,442,407,106,21,1,8,54,46,27,74,2,18,5,6.10%,16.70%,0.114,0.298,0.261,0.307,0.375,0.682,0.297,84,275,5.9,0.28,1.1
150,Luis Matos,SFG,67,259,236,62,12,1,5,31,27,18,33,3,9,1,7.10%,12.80%,0.118,0.289,0.264,0.325,0.382,0.707,0.311,95,497.5,9.59,0.14,1.43
151,Alexander Canario,CHC,38,150,138,31,7,0,6,19,20,11,47,1,2,0,7.30%,31.40%,0.196,0.296,0.227,0.287,0.423,0.71,0.305,91,732.3,7.09,-0.03,1.39
152,Dominic Canzone,SEA,65,243,225,55,12,1,8,29,30,15,48,2,3,1,6.30%,19.80%,0.169,0.275,0.244,0.296,0.413,0.709,0.305,97,677.9,5.86,1.28,1.1
153,Enrique Hernández,LAD,81,342,308,72,16,1,8,39,39,26,65,3,2,1,7.70%,19.00%,0.14,0.268,0.235,0.299,0.375,0.674,0.295,84,575.8,4.14,0.44,0.62
154,Andrew McCutchen,PIT,108,458,392,95,19,1,13,54,50,59,99,4,8,2,12.80%,21.70%,0.149,0.289,0.242,0.343,0.391,0.734,0.324,101,582.8,1.74,-0.13,0.4
155,Dominic Fletcher,CHW,98,393,356,85,17,3,8,43,38,27,93,4,4,2,6.90%,23.70%,0.128,0.301,0.24,0.299,0.368,0.667,0.291,82,618.9,3.55,-0.28,0.64
156,Robbie Grossman,,96,385,328,75,16,1,9,45,40,49,94,4,5,1,12.70%,24.40%,0.14,0.287,0.228,0.331,0.368,0.7,0.311,95,750.8,2.85,-0.38,0.54
157,Garrett Hampson,KCR,63,219,196,48,9,1,3,26,18,17,54,2,7,1,7.90%,24.80%,0.107,0.321,0.245,0.31,0.351,0.661,0.292,82,683.2,3.62,2.39,1.48
158,Ji Hwan Bae,PIT,70,269,242,61,13,2,2,34,23,22,60,2,15,4,8.20%,22.30%,0.096,0.324,0.252,0.319,0.348,0.667,0.296,82,510.1,4.08,-0.39,1.57
159,Dairon Blanco,KCR,37,111,101,26,5,1,2,14,10,7,27,2,13,2,6.70%,24.50%,0.133,0.332,0.256,0.316,0.389,0.705,0.308,93,643.6,5.42,1.3,2.02
160,Blake Sabol,SFG,30,106,96,22,4,0,4,11,12,8,34,1,1,0,7.70%,32.10%,0.169,0.314,0.231,0.296,0.401,0.696,0.302,89,504,4.16,-0.36,1.66
161,Jesse Winker,,76,300,254,61,12,0,7,32,32,41,60,4,0,0,13.50%,20.00%,0.137,0.286,0.241,0.353,0.378,0.73,0.326,103,719,3.64,-1.09,0.91
162,Randal Grichuk,ARI,72,285,264,66,13,1,10,34,34,16,62,3,1,1,5.60%,21.90%,0.169,0.289,0.249,0.296,0.418,0.715,0.307,91,611.1,4.91,-0.02,0.93
163,Sam Haggerty,SEA,43,135,119,29,6,1,3,16,12,12,30,2,8,1,8.80%,22.50%,0.132,0.297,0.239,0.314,0.371,0.685,0.301,94,999,3.09,0.76,1.77
164,Austin Meadows,,29,116,103,26,6,1,4,14,16,11,20,1,1,0,9.50%,17.50%,0.186,0.276,0.252,0.33,0.438,0.767,0.331,109,999,3.02,2.66,1.63
165,Harold Ramírez,TBR,79,313,290,82,16,1,7,35,39,15,55,5,3,1,4.70%,17.50%,0.131,0.324,0.282,0.324,0.413,0.737,0.319,101,596.4,5.61,0.07,1.29
166,Mickey Moniak,LAA,95,381,356,84,17,3,15,44,45,17,123,4,6,2,4.50%,32.20%,0.189,0.316,0.237,0.278,0.426,0.704,0.299,87,413.4,5.42,-1.3,0.59
167,Alex Call,WSN,44,163,142,32,7,0,4,18,16,18,31,2,4,1,10.90%,19.10%,0.138,0.26,0.225,0.321,0.364,0.684,0.305,89,748.5,4.69,0.35,1.48
168,Colton Cowser,BAL,45,168,145,34,7,0,4,21,17,19,50,2,2,1,11.10%,29.70%,0.125,0.325,0.234,0.328,0.359,0.687,0.306,95,518.4,5.17,0.04,1.42
169,Trevor Larnach,MIN,60,233,204,46,10,1,8,27,29,25,76,2,1,0,10.80%,32.40%,0.172,0.314,0.227,0.317,0.399,0.716,0.312,98,742.3,4.27,2.36,1
170,Nick Senzel,WSN,98,376,341,80,15,1,9,44,37,28,77,3,8,3,7.50%,20.40%,0.128,0.278,0.236,0.299,0.364,0.663,0.291,80,420.7,3.17,0.37,0.76
171,Alec Burleson,STL,60,226,207,54,11,1,6,25,27,15,34,2,2,0,6.50%,15.20%,0.142,0.284,0.259,0.312,0.402,0.713,0.31,94,636.7,4.76,0.16,1.33
172,Eric Haase,MIL,33,120,111,24,4,0,4,12,14,8,35,0,1,0,6.60%,28.90%,0.14,0.285,0.221,0.274,0.361,0.634,0.276,70,701.6,5.48,0.64,1.57
173,Oswaldo Cabrera,NYY,47,171,155,35,7,0,5,20,19,13,41,1,4,1,7.50%,23.70%,0.142,0.277,0.229,0.29,0.37,0.661,0.288,80,742.2,2.66,-0.08,1.42
174,Wade Meckler,SFG,27,86,76,21,4,1,1,10,8,8,20,1,1,0,9.60%,23.80%,0.093,0.364,0.272,0.35,0.364,0.715,0.319,101,749.1,1.17,-0.29,1.89
175,Nick Gordon,MIA,69,250,231,57,13,2,6,29,27,12,52,3,5,2,4.80%,20.60%,0.15,0.294,0.249,0.294,0.399,0.693,0.299,85,620.8,4.11,-1.95,1.24
176,Franmil Reyes,,26,93,84,19,3,0,4,10,12,7,30,1,0,0,7.60%,32.00%,0.181,0.294,0.227,0.288,0.409,0.696,0.299,85,999,2.74,0.57,1.68
177,Miguel Andujar,OAK,59,226,209,53,11,1,5,23,26,14,35,1,3,1,6.20%,15.70%,0.138,0.283,0.256,0.304,0.394,0.697,0.3,94,650,3.78,-1.16,1.36
178,Travis Jankowski,TEX,56,186,161,40,7,1,1,23,14,22,33,2,9,2,11.60%,17.50%,0.066,0.305,0.247,0.34,0.314,0.654,0.298,85,737.4,2.6,3.68,1.71
179,Sam Hilliard,COL,31,101,90,19,4,0,3,12,10,9,34,1,3,0,9.10%,33.60%,0.157,0.29,0.21,0.286,0.366,0.652,0.286,81,748.1,2.97,-0.63,1.66
180,Stuart Fairchild,CIN,62,209,184,42,9,1,6,26,22,17,58,5,6,2,8.30%,27.90%,0.161,0.297,0.228,0.31,0.389,0.699,0.306,85,748.6,3.34,0.81,1.28
181,Pablo Reyes,BOS,36,123,112,28,6,0,2,15,12,10,22,0,3,1,8.10%,18.10%,0.112,0.296,0.252,0.314,0.364,0.678,0.298,82,745.4,3.99,1.69,1.73
182,Jacob Young,WSN,30,114,103,26,5,1,1,12,10,8,21,1,7,1,6.60%,18.10%,0.1,0.31,0.256,0.314,0.356,0.67,0.295,83,673,5.24,1.03,1.93
183,Jordan Luplow,ATL,27,90,80,17,4,0,3,11,11,9,23,1,1,0,10.10%,25.10%,0.165,0.262,0.217,0.304,0.382,0.686,0.301,85,999,3.42,-0.59,1.68
184,Cade Marlowe,SEA,46,168,153,32,6,1,4,19,17,13,54,2,6,2,7.50%,32.10%,0.133,0.297,0.211,0.277,0.344,0.621,0.273,74,747.4,2.57,-0.34,1.47
185,Jurickson Profar,SDP,112,455,399,95,21,1,9,51,43,47,77,5,3,1,10.30%,16.80%,0.129,0.27,0.237,0.322,0.366,0.688,0.305,91,643.2,3.29,0.25,0.39
186,Tucupita Marcano,SDP,36,131,119,29,6,1,2,14,12,9,24,1,3,1,7.10%,18.30%,0.11,0.284,0.24,0.298,0.35,0.648,0.285,78,999,4.45,0.94,1.68
187,Dominic Smith,,58,228,205,52,11,0,5,24,24,17,42,4,1,0,7.70%,18.30%,0.133,0.293,0.253,0.32,0.386,0.706,0.309,94,730.7,5.74,0.47,1.3
188,George Valera,CLE,16,64,56,12,2,0,2,7,7,7,19,0,0,0,11.20%,29.40%,0.14,0.291,0.216,0.308,0.357,0.665,0.295,88,999,2.35,-0.5,1.82
189,Pavin Smith,ARI,28,104,92,22,4,0,3,11,12,11,22,0,0,0,10.70%,20.70%,0.15,0.281,0.24,0.324,0.39,0.714,0.314,95,999,3.96,-0.56,1.69
190,Samad Taylor,SEA,12,41,37,9,2,0,1,5,4,4,11,0,3,0,9.80%,25.90%,0.125,0.31,0.237,0.315,0.361,0.677,0.299,93,741.2,3.48,0.56,2.01
191,Vidal Bruján,MIA,48,164,148,33,7,1,3,20,15,12,34,2,8,3,7.50%,20.80%,0.119,0.267,0.222,0.288,0.34,0.628,0.277,71,657.6,5.24,-0.81,1.58
192,Richie Palacios,TBR,42,154,136,33,8,1,3,17,16,14,25,2,3,1,9.10%,16.30%,0.136,0.275,0.244,0.32,0.38,0.7,0.307,93,605.9,4.55,1.63,1.58
193,Jake Alu,WSN,31,117,107,27,6,0,2,12,11,7,24,1,3,1,6.30%,20.80%,0.106,0.307,0.25,0.303,0.356,0.659,0.289,79,750.2,4.12,1.19,1.78
194,Nick Martini,CIN,23,81,71,17,3,0,3,9,10,8,19,2,0,0,9.40%,23.00%,0.17,0.286,0.242,0.329,0.412,0.74,0.324,97,999,4.47,-0.01,1.78
195,Jorge Barrosa,ARI,6,26,23,6,1,0,0,3,2,2,5,0,0,0,8.90%,20.40%,0.124,0.289,0.239,0.311,0.362,0.674,0.298,85,999,2.67,-0.35,2.03
196,Tyler Gentry,KCR,21,81,71,17,4,0,2,8,8,7,20,1,1,0,9.10%,24.90%,0.129,0.301,0.237,0.317,0.366,0.683,0.302,89,999,1.81,-0.82,1.82
197,Franchy Cordero,,27,82,74,17,3,0,3,10,10,7,26,1,1,0,8.30%,32.10%,0.178,0.301,0.224,0.294,0.402,0.696,0.302,89,999,0.42,4.2,1.73
198,Wil Myers,,33,128,116,27,6,0,4,14,15,11,39,0,2,1,8.60%,30.20%,0.149,0.315,0.233,0.3,0.382,0.682,0.298,86,999,4.54,-0.38,1.59
199,Blake Perkins,MIL,25,82,72,16,3,0,2,10,8,9,22,0,2,0,10.90%,27.50%,0.128,0.294,0.22,0.309,0.348,0.657,0.293,81,999,2.56,0.18,1.78
200,Mark Mathias,CIN,15,40,35,8,2,0,1,4,4,4,11,0,1,0,10.20%,26.60%,0.139,0.3,0.231,0.316,0.37,0.686,0.303,83,999,0.84,1.42,1.98
201,DJ Stewart,NYM,69,258,225,49,9,0,11,29,32,26,76,5,2,0,10.10%,29.30%,0.196,0.268,0.217,0.31,0.413,0.723,0.314,98,643.9,3.59,-0.19,0.9
202,Aaron Hicks,LAA,97,377,325,74,12,1,9,46,37,48,88,2,6,2,12.70%,23.30%,0.129,0.281,0.227,0.328,0.355,0.684,0.305,90,628.3,2.51,-1.93,0.64
203,Austin Martin,MIN,14,56,49,11,2,0,1,6,5,5,11,2,2,0,9.20%,19.80%,0.098,0.282,0.232,0.322,0.33,0.652,0.294,86,999,1.84,-0.69,1.94
204,Ryan McKenna,BAL,27,78,70,16,3,0,2,10,7,6,25,1,2,0,7.90%,32.20%,0.127,0.318,0.223,0.29,0.349,0.639,0.282,79,999,2.83,-0.18,1.8
205,Cooper Hummel,SFG,11,40,35,7,2,0,1,5,3,5,12,1,1,0,11.40%,29.50%,0.127,0.285,0.204,0.305,0.331,0.636,0.286,78,999,2.98,0.52,1.95
206,Victor Scott II,STL,9,35,32,8,1,0,0,4,3,2,7,1,2,0,5.90%,19.30%,0.1,0.297,0.243,0.299,0.343,0.642,0.284,77,999,1.74,-0.28,2.04
207,Brett Wisely,SFG,24,85,75,17,4,0,1,9,8,7,22,1,2,1,8.50%,26.50%,0.112,0.288,0.219,0.291,0.331,0.622,0.276,72,999,3.02,0.06,1.79
208,Terrin Vavra,BAL,22,52,46,11,2,0,1,6,5,5,11,1,1,0,9.50%,21.00%,0.1,0.303,0.243,0.322,0.343,0.665,0.297,89,999,1.47,-0.51,1.94
209,Kyle Lewis,,19,74,66,15,3,0,3,8,9,7,21,1,0,0,9.20%,28.80%,0.158,0.294,0.229,0.305,0.387,0.692,0.303,90,999,2.76,-0.59,1.78
210,Jo Adell,LAA,69,270,247,55,11,1,11,32,33,18,92,3,4,1,6.60%,34.00%,0.185,0.305,0.224,0.283,0.409,0.692,0.297,85,561.9,4.75,-1.11,0.88
211,Nathan Lukes,TOR,37,86,79,20,4,0,1,9,8,6,17,1,1,0,6.60%,19.10%,0.101,0.304,0.253,0.308,0.354,0.661,0.291,84,999,3.68,1.28,1.85
212,Taylor Trammell,SEA,34,118,103,21,4,0,4,13,13,12,39,1,2,1,10.40%,33.40%,0.165,0.272,0.2,0.29,0.365,0.655,0.288,85,999,3.11,1.61,1.54
213,Andy Pages,,13,42,38,9,2,0,1,5,5,4,12,1,0,0,9.20%,27.30%,0.151,0.296,0.226,0.31,0.377,0.687,0.302,89,999,0.5,0.52,1.92
214,Brett Phillips,CHW,44,111,98,17,3,1,3,13,10,11,46,1,4,1,9.80%,41.70%,0.142,0.29,0.178,0.264,0.319,0.583,0.259,60,999,2.67,-1.94,1.59
215,Justyn-Henry Malloy,DET,23,91,79,19,4,0,2,10,9,12,25,1,0,0,12.60%,27.10%,0.128,0.318,0.237,0.337,0.364,0.702,0.314,98,999,5.97,1.08,1.75
216,AJ Pollock,,55,198,182,45,9,1,7,23,24,13,41,1,2,1,6.30%,20.70%,0.173,0.28,0.247,0.297,0.419,0.717,0.308,93,999,3.23,-0.42,1.3
217,Jake Cave,PHI,40,148,133,31,7,1,4,17,17,11,41,2,1,0,7.50%,28.00%,0.148,0.304,0.232,0.299,0.38,0.68,0.297,84,999,4.85,-0.07,1.47
218,Gavin Sheets,CHW,78,301,265,61,12,0,10,26,34,32,60,2,1,0,10.70%,19.90%,0.158,0.262,0.232,0.317,0.39,0.707,0.309,94,681,2.62,-0.17,0.94
219,Charlie Blackmon,COL,108,469,418,114,22,4,10,59,51,37,75,8,4,1,7.90%,16.00%,0.148,0.308,0.272,0.341,0.42,0.761,0.331,92,433.6,2.78,0.85,0.78
220,Kenedy Corona,HOU,9,33,30,7,1,0,1,4,3,2,10,0,1,0,7.00%,29.10%,0.141,0.288,0.22,0.278,0.361,0.638,0.279,75,999,2.34,0.1,1.99
221,James Wood,WSN,24,95,85,20,4,0,3,11,11,8,31,1,2,0,8.40%,32.20%,0.162,0.318,0.229,0.301,0.391,0.692,0.302,87,999,4.33,0.87,1.73
222,Kyle Stowers,BAL,13,45,40,9,2,0,1,5,5,4,14,0,0,0,9.10%,31.70%,0.156,0.304,0.222,0.299,0.378,0.677,0.297,89,743.9,2.59,1.79,1.91
223,Tony Kemp,CIN,51,191,168,40,8,1,2,21,16,19,22,2,7,1,9.80%,11.60%,0.085,0.266,0.24,0.321,0.325,0.646,0.291,75,750.5,6.65,-0.44,1.58
224,Andrew Stevenson,,24,47,43,10,2,0,1,5,4,3,11,1,2,0,5.80%,24.40%,0.111,0.31,0.242,0.298,0.352,0.65,0.286,81,999,1.94,-0.53,1.99
225,Jonatan Clase,SEA,16,46,41,9,2,0,1,5,4,4,14,0,3,0,8.60%,31.60%,0.129,0.296,0.21,0.284,0.339,0.623,0.276,77,999,0.7,2.28,1.97
226,Yasiel Puig,,15,64,58,14,3,0,2,7,7,5,16,1,1,0,7.40%,24.90%,0.144,0.294,0.237,0.304,0.382,0.685,0.3,88,999,0.81,0.97,1.86
227,Jake Marisnick,LAA,17,50,46,10,2,0,1,5,5,3,14,1,1,0,5.90%,29.00%,0.122,0.309,0.227,0.283,0.349,0.632,0.277,71,999,3.55,0.18,1.93
228,Jake Bauers,MIL,66,238,208,46,10,0,9,27,26,27,73,1,4,1,11.30%,30.50%,0.182,0.289,0.221,0.312,0.403,0.715,0.312,94,626.2,2.97,0.35,1.09
229,Pedro León,HOU,6,21,19,4,1,0,1,2,2,2,7,0,1,0,8.60%,34.20%,0.149,0.279,0.198,0.274,0.347,0.621,0.274,72,999,3,0.71,2.04
230,Conner Capel,CIN,14,38,34,8,2,0,1,4,4,4,10,0,2,0,9.60%,24.90%,0.128,0.304,0.239,0.315,0.367,0.682,0.301,82,999,0.98,-0.52,2.02
231,Travis Blankenhorn,WSN,12,35,32,7,2,0,1,4,4,3,9,0,0,0,8.00%,25.90%,0.158,0.281,0.225,0.295,0.382,0.677,0.296,83,999,0.57,1.46,1.97
232,Jimmy Herron,COL,6,24,21,5,1,0,1,3,3,2,5,0,1,0,8.60%,22.50%,0.152,0.299,0.246,0.316,0.398,0.714,0.312,79,999,2.35,-0.51,2.04
233,Luke Williams,ATL,22,45,42,9,2,0,1,5,3,3,13,0,4,0,7.10%,28.50%,0.106,0.292,0.215,0.275,0.321,0.596,0.264,61,999,1.17,-0.42,2.01
234,Kevin Pillar,,53,181,169,39,8,1,7,22,22,8,41,2,3,1,4.40%,22.90%,0.172,0.267,0.232,0.274,0.404,0.678,0.29,81,749.9,2.71,2.21,1.3
235,Lazaro Armenteros,OAK,7,27,24,5,1,0,1,3,2,2,11,0,1,0,9.20%,40.60%,0.15,0.32,0.199,0.287,0.348,0.635,0.282,81,999,1.89,-0.69,2.01
236,Tyler Fitzgerald,SFG,11,41,38,8,2,0,1,5,5,3,12,0,1,0,6.50%,30.10%,0.124,0.305,0.221,0.277,0.345,0.622,0.273,69,748.5,2.8,-0.63,1.95
237,J.P. Martínez,ATL,20,71,63,13,3,0,2,9,7,7,23,1,3,1,9.40%,31.70%,0.131,0.299,0.214,0.293,0.345,0.637,0.282,73,999,4.07,1.08,1.84
238,Canaan Smith-Njigba,PIT,18,63,56,13,3,0,1,7,6,6,18,1,2,0,9.80%,29.20%,0.126,0.318,0.232,0.312,0.358,0.669,0.296,82,999,3.44,0.24,1.9
239,Peyton Burdick,CHW,8,25,22,4,1,0,1,3,3,2,10,0,0,0,9.10%,38.30%,0.167,0.294,0.197,0.279,0.364,0.643,0.283,76,999,2.06,-0.27,2
240,Darin Ruf,,17,62,54,12,2,0,2,7,7,7,17,1,0,0,11.70%,28.20%,0.158,0.293,0.225,0.323,0.383,0.706,0.312,96,999,2.49,0.37,1.84
241,Jhonkensy Noel,CLE,14,40,37,8,2,0,1,4,5,3,11,1,0,0,6.50%,27.10%,0.136,0.287,0.223,0.284,0.359,0.643,0.282,78,999,0.6,1.49,1.94
242,TJ Hopkins,DET,11,30,28,6,1,0,1,3,3,3,9,0,0,0,8.30%,30.30%,0.117,0.319,0.231,0.299,0.348,0.647,0.287,79,999,2.65,-0.67,2
243,Brennen Davis,CHC,14,48,43,9,2,0,1,5,4,4,14,1,1,0,7.50%,28.40%,0.14,0.283,0.216,0.29,0.357,0.647,0.286,78,999,0.53,0.6,1.93
244,Oscar Gonzalez,NYY,34,118,112,29,6,0,3,12,13,4,28,1,0,0,3.60%,23.30%,0.129,0.316,0.257,0.287,0.386,0.673,0.29,81,749.3,1.97,-0.89,1.7
245,Taylor Kohlwey,NYM,15,44,40,9,2,0,1,4,4,4,11,1,1,0,8.70%,25.00%,0.121,0.284,0.222,0.299,0.343,0.642,0.286,78,999,0.35,1.54,1.96
246,Luis Liberato,ATL,9,24,22,5,1,0,1,3,2,2,7,0,0,0,8.30%,31.20%,0.167,0.273,0.208,0.276,0.375,0.651,0.284,74,999,0.45,1.48,2.02
247,Johnathan Rodriguez,CLE,10,38,35,8,2,0,1,4,5,3,12,0,0,0,7.10%,31.90%,0.148,0.323,0.235,0.292,0.383,0.675,0.294,87,999,2.21,-0.79,1.96
248,Victor Reyes,,10,33,31,8,1,0,1,3,3,2,8,0,0,0,4.80%,23.70%,0.107,0.316,0.248,0.289,0.356,0.645,0.282,75,999,0.18,-1.83,2.02
249,Ben Gamel,,24,85,75,17,3,0,2,10,9,9,21,0,1,0,11.20%,24.40%,0.105,0.297,0.231,0.32,0.336,0.656,0.293,83,999,5.87,1.35,1.75
250,Rece Hinds,CIN,6,22,21,5,1,0,1,2,3,1,8,0,0,0,5.80%,36.40%,0.172,0.318,0.221,0.27,0.394,0.664,0.285,71,750.2,2.57,-0.51,2.02
251,Leury García,ATL,18,68,63,16,3,0,1,8,6,4,15,0,1,0,5.40%,21.40%,0.09,0.312,0.249,0.294,0.339,0.633,0.279,71,999,3.19,-0.53,1.89
252,Símon Muzziotti,PHI,10,33,29,7,1,0,0,4,3,2,6,0,1,0,6.50%,19.70%,0.068,0.312,0.247,0.306,0.315,0.621,0.278,71,999,0.72,1.33,2.03
253,Rafael Ortega,,31,92,81,18,3,0,2,10,7,10,21,1,3,1,10.50%,22.50%,0.118,0.266,0.218,0.304,0.336,0.639,0.285,77,999,0.42,0.86,1.8
254,Clint Frazier,,29,75,65,13,3,0,2,8,6,8,23,1,2,0,11.10%,30.70%,0.128,0.286,0.204,0.302,0.332,0.634,0.285,78,999,1.56,-0.75,1.82
255,Dustin Harris,TEX,8,27,24,5,1,0,0,3,3,2,7,0,1,0,9.40%,25.40%,0.079,0.309,0.231,0.307,0.309,0.616,0.278,71,999,2.78,-0.43,2.02
256,Bubba Thompson,CIN,15,42,39,9,1,0,1,5,4,2,12,0,2,0,5.50%,29.00%,0.089,0.324,0.235,0.281,0.324,0.605,0.267,59,999,2.8,-0.74,1.99
257,Greg Allen,,12,29,25,5,1,0,1,4,3,2,8,1,1,0,7.80%,28.70%,0.11,0.293,0.216,0.295,0.326,0.62,0.278,73,999,2.45,-0.65,2.02
258,Kyle Garlick,,27,67,62,13,3,0,3,7,8,4,22,1,0,0,6.50%,32.90%,0.175,0.285,0.215,0.274,0.391,0.664,0.287,77,999,0.98,-0.2,1.78
259,Gilberto Celestino,PIT,15,58,52,12,3,0,1,5,5,6,12,0,1,0,9.80%,21.10%,0.1,0.299,0.238,0.316,0.338,0.655,0.292,80,999,3.03,-0.11,1.94
260,José Azocar,SDP,93,292,270,64,12,2,4,32,24,13,71,2,14,4,4.60%,24.20%,0.104,0.306,0.238,0.279,0.342,0.621,0.272,68,673.4,4.96,-1.01,1.46
261,Weston Wilson,PHI,15,49,44,9,2,0,1,6,5,4,15,0,3,0,8.90%,30.20%,0.14,0.275,0.208,0.282,0.348,0.629,0.278,71,744.2,4.3,1.38,1.92
262,Raimel Tapia,,60,215,197,49,9,1,3,25,20,15,44,1,8,2,6.90%,20.50%,0.105,0.307,0.252,0.305,0.357,0.662,0.291,81,999,3.15,0.18,1.53
263,Jonathan Davis,MIA,19,65,57,13,2,0,1,8,5,6,17,1,2,1,9.00%,26.50%,0.102,0.3,0.223,0.309,0.325,0.634,0.285,76,999,2.6,-0.37,1.89
264,Adam Engel,,17,39,36,8,1,0,1,4,3,2,12,1,1,0,6.20%,31.40%,0.124,0.292,0.211,0.273,0.335,0.608,0.269,66,999,0.96,2.36,1.97
265,Billy McKinney,PIT,24,74,66,14,3,0,2,8,8,7,20,1,0,0,9.70%,26.80%,0.165,0.262,0.212,0.294,0.377,0.671,0.293,83,999,0.82,1.16,1.76
266,Trey Cabbage,HOU,18,58,54,11,2,0,2,7,7,4,23,0,2,0,6.90%,38.50%,0.159,0.323,0.214,0.271,0.372,0.643,0.279,75,715.8,6.02,1.5,1.86
267,Óscar Mercado,SDP,35,109,101,23,5,1,2,12,11,7,24,1,4,1,6.20%,22.20%,0.131,0.272,0.225,0.28,0.356,0.637,0.278,73,749.5,3.96,3.27,1.72
268,Bryce Johnson,SDP,23,52,47,11,2,0,1,6,4,4,16,0,2,1,7.50%,30.10%,0.092,0.316,0.223,0.287,0.316,0.603,0.268,66,999,0.41,-0.72,1.96
269,Willie Calhoun,LAA,22,78,70,17,3,0,2,9,9,7,11,0,0,0,8.80%,14.60%,0.117,0.266,0.243,0.313,0.36,0.673,0.297,85,999,5.17,1.73,1.79
270,Tim Locastro,,32,66,60,13,3,0,1,9,5,3,18,2,5,0,4.90%,26.50%,0.118,0.289,0.22,0.283,0.339,0.622,0.276,71,999,1.07,-0.01,1.92
271,Forrest Wall,ATL,38,99,90,21,4,1,1,13,8,8,28,1,10,2,8.10%,28.00%,0.1,0.317,0.23,0.298,0.33,0.628,0.28,71,744.7,3.71,1.84,1.93
272,Tirso Ornelas,SDP,16,66,60,14,3,0,1,7,6,5,15,0,0,0,8.00%,22.80%,0.115,0.293,0.235,0.298,0.35,0.647,0.285,78,999,3.6,-0.39,1.87
273,Zach DeLoach,CHW,16,62,56,12,2,0,1,7,6,5,20,0,0,0,8.60%,32.20%,0.123,0.312,0.219,0.291,0.342,0.633,0.28,74,999,3.5,0.13,1.85
274,Adam Haseley,,34,61,55,13,2,0,1,6,5,4,13,1,1,0,6.50%,20.80%,0.091,0.282,0.229,0.286,0.32,0.606,0.269,67,999,0.59,1.88,1.92
275,Michael Siani,STL,19,44,39,8,1,0,1,5,4,4,10,0,2,0,9.50%,23.50%,0.086,0.268,0.211,0.29,0.297,0.587,0.265,64,999,3.68,0.64,1.95
276,Tyler Naquin,,22,73,67,15,3,0,2,8,8,4,25,1,1,0,6.10%,34.20%,0.151,0.324,0.227,0.28,0.378,0.658,0.285,77,999,2.89,1.05,1.8
277,Moisés Gómez,STL,13,45,42,8,2,0,1,4,5,3,16,0,0,0,6.40%,36.30%,0.135,0.302,0.204,0.261,0.339,0.6,0.263,62,999,0.68,0.61,1.9
278,Hunter Dozier,,19,73,66,15,3,0,2,8,8,6,21,0,1,0,8.20%,28.80%,0.161,0.286,0.222,0.289,0.384,0.673,0.293,82,999,5.19,1.61,1.8
279,Trayce Thompson,NYM,30,98,86,17,2,0,3,11,12,11,38,1,1,0,11.20%,39.10%,0.139,0.308,0.196,0.292,0.335,0.627,0.28,74,999,5.02,1.25,1.58
280,Eddie Rosario,,94,367,338,83,16,2,12,41,46,24,81,1,4,1,6.50%,22.00%,0.165,0.284,0.244,0.294,0.409,0.703,0.302,89,492.1,3.96,-1.16,0.6
