#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP,InterSD,InterSK,IntraSD
59,Colin Holderman,PIT,0,58,60,2,3,0,2,16,56,27,5,59,24,8.9,3.59,2.48,0.82,0.244,1.33,0.306,70.30%,4.02,3.82,743.6,2.77,-1.28,0.59
60,Garrett Crochet,CHW,5,52,70.2,4,5,1,0,6,61,31,8,79,36,10.04,4.61,2.18,1.02,0.23,1.38,0.297,74.30%,3.91,4.18,542.2,4.83,-1.66,0.5
61,John Schreiber,KCR,0,58,60.2,3,3,0,3,14,54,25,6,64,23,9.48,3.46,2.74,0.92,0.233,1.28,0.296,72.90%,3.73,3.8,695.6,2.28,-0.96,0.7
62,Julian Merryweather,CHC,0,60,62.2,3,3,0,3,15,54,27,8,77,26,11.08,3.69,3,1.14,0.23,1.28,0.307,73.80%,3.85,3.81,543.6,3.35,-1.29,0.55
63,Jason Foley,DET,0,60,61,2,2,0,7,14,63,25,5,50,17,7.37,2.53,2.91,0.7,0.262,1.31,0.314,71.40%,3.75,3.61,474.7,2.21,-0.78,0.91
64,Griffin Jax,MIN,1,54,61.1,4,4,1,2,16,56,27,7,63,19,9.23,2.74,3.37,1.06,0.239,1.22,0.298,70.00%,3.98,3.79,529.6,0.85,0.09,0.56
65,Erik Swanson,TOR,1,59,61,4,3,1,5,15,52,24,9,68,18,10.06,2.71,3.72,1.26,0.228,1.16,0.287,75.70%,3.56,3.83,515.3,0.85,0.3,0.85
66,Kenley Jansen,BOS,0,59,58.1,3,4,0,30,1,50,26,8,70,23,10.74,3.56,3.01,1.22,0.227,1.25,0.296,72.40%,3.99,3.95,121.3,1.6,-1.47,1.93
67,Gregory Soto,PHI,0,64,63,3,4,0,4,16,54,28,7,70,29,10.02,4.18,2.4,0.93,0.228,1.32,0.296,71.80%,3.94,3.92,602.3,2.43,-0.61,0.54
68,Yimi García,TOR,0,59,58,3,3,0,4,15,52,25,8,62,16,9.69,2.52,3.85,1.2,0.236,1.18,0.295,71.90%,3.84,3.85,734.1,2.06,-0.92,0.81
69,Fernando Cruz,CIN,0,43,45.2,2,2,0,0,6,39,21,6,60,20,11.87,3.93,3.02,1.25,0.226,1.29,0.31,71.10%,4.22,3.89,736.4,2.91,-0.11,0.63
70,Hoby Milner,MIL,0,60,58.2,2,2,0,0,13,56,24,7,56,15,8.54,2.24,3.81,1.13,0.248,1.21,0.299,73.40%,3.72,3.89,744.1,1.13,0.2,0.86
71,Héctor Neris,CHC,0,64,64.2,4,4,0,6,16,54,27,8,73,26,10.15,3.59,2.83,1.17,0.225,1.24,0.286,74.10%,3.78,4.06,417.6,2.44,0.75,0.59
72,Yariel Rodriguez,TOR,6,42,71,3,3,2,0,1,65,34,9,72,33,9.11,4.24,2.15,1.1,0.241,1.39,0.297,70.90%,4.36,4.41,999,3.53,-1.07,0.29
73,David Robertson,TEX,0,57,59.2,3,4,0,9,11,51,26,8,68,26,10.28,3.91,2.63,1.14,0.228,1.29,0.294,74.10%,3.86,4.06,321.5,1.82,0.47,0.76
74,Yennier Cano,BAL,0,62,64.2,3,3,0,12,14,61,27,6,62,21,8.54,2.92,2.92,0.85,0.246,1.27,0.304,72.50%,3.69,3.69,336.8,1.61,0.56,1.05
75,Giovanny Gallegos,STL,0,59,60.1,3,4,0,5,16,54,26,9,66,17,9.87,2.49,3.97,1.34,0.236,1.17,0.292,72.40%,3.92,3.91,528,2.49,-1.55,0.79
76,Joe Jiménez,ATL,0,61,60,3,2,0,1,13,53,26,9,75,19,11.25,2.92,3.85,1.3,0.232,1.2,0.307,73.60%,3.86,3.76,670.3,1.74,-0.81,0.69
77,Chad Green,TOR,0,48,50.1,4,3,0,1,10,44,22,7,58,15,10.29,2.68,3.84,1.23,0.232,1.17,0.296,71.90%,3.87,3.72,702.5,2.77,-0.77,0.71
78,Scott Barlow,CLE,0,63,66.1,4,4,0,3,13,57,27,7,74,26,10.08,3.52,2.87,1,0.23,1.26,0.298,73.20%,3.73,3.78,466.2,1.58,-0.39,0.61
79,Kevin Kelly,TBR,0,44,47.2,2,2,0,1,6,45,20,4,43,13,8.08,2.42,3.34,0.83,0.245,1.21,0.297,69.20%,3.81,3.7,750.7,2.39,0.56,0.89
80,Dauri Moreta,PIT,0,52,55,4,3,0,1,6,47,25,7,64,21,10.4,3.36,3.1,1.17,0.225,1.22,0.291,70.20%,4.06,3.9,731.8,2.17,0.28,0.6
81,Gabe Speier,SEA,0,58,54.1,2,2,0,1,14,49,22,6,59,15,9.78,2.45,3.99,1.05,0.239,1.18,0.304,72.60%,3.67,3.55,745.8,3.3,-0.81,0.94
82,Craig Kimbrel,BAL,0,63,63.2,4,4,0,23,5,51,26,8,79,26,11.17,3.74,2.99,1.16,0.216,1.21,0.287,73.90%,3.73,3.87,103,1.4,-0.31,1.43
83,Dylan Floro,WSN,0,54,53.1,3,4,0,2,9,55,25,5,48,17,8.16,2.93,2.79,0.9,0.262,1.36,0.318,69.30%,4.25,3.82,748.6,2.56,-0.88,0.53
84,Luke Jackson,SFG,0,56,57,3,3,0,1,11,52,25,6,62,24,9.84,3.77,2.61,0.98,0.239,1.33,0.307,72.90%,3.9,3.87,999,1.12,-0.18,0.58
85,Paul Sewald,ARI,0,62,62,4,3,0,30,2,51,26,9,75,23,10.92,3.28,3.33,1.27,0.22,1.18,0.286,74.60%,3.71,3.88,85,2.2,0.27,1.87
86,Colin Poche,TBR,0,60,58.1,5,3,0,3,17,49,25,8,62,22,9.58,3.46,2.77,1.19,0.225,1.23,0.279,73.80%,3.8,4.1,639.3,2.77,-0.03,0.59
87,Josh Winckowski,BOS,2,54,67.1,4,4,1,1,13,69,31,8,60,23,7.98,3.13,2.55,1.04,0.26,1.37,0.31,71.60%,4.17,4.14,694.7,2.51,-2.59,0.41
88,Brooks Raley,NYM,0,61,57,2,2,0,3,18,50,24,7,62,23,9.87,3.57,2.76,1.05,0.234,1.28,0.298,73.40%,3.82,3.99,744.3,2.09,-0.46,0.78
