#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
86,Alejandro Kirk,TOR,96,319,363,85,59,16,0,10,39,42,37,1,41,4,2,0,0,0,0.267
87,Cedric Mullins,BAL,138,510,567,126,79,26,3,18,72,66,46,1,115,5,4,2,26,6,0.248
88,Bryson Stott,PHI,141,535,588,142,98,29,3,13,72,62,42,1,102,4,5,1,22,4,0.266
89,Jazz Chisholm Jr.,MIA,130,491,544,121,72,21,4,25,78,73,43,0,155,5,4,1,28,7,0.247
90,Kyle Schwarber,PHI,148,540,648,120,58,20,1,41,96,97,98,3,189,6,3,1,3,1,0.222
91,Steven Kwan,CLE,140,545,615,151,112,28,6,5,79,51,58,2,62,5,4,3,17,4,0.277
92,CJ Abrams,WSN,147,563,613,142,94,29,4,16,83,62,31,1,113,12,4,3,41,7,0.253
93,Nolan Gorman,STL,129,468,526,112,63,21,1,28,70,75,51,1,161,4,2,0,7,2,0.24
94,Chas McCormick,HOU,130,456,517,115,75,18,2,20,67,67,48,0,135,7,5,1,16,4,0.253
95,Triston Casas,BOS,142,495,580,127,72,25,2,27,77,79,78,3,138,3,3,0,1,0,0.256
96,Taylor Ward,LAA,127,472,540,126,79,25,1,20,74,68,55,0,112,8,5,1,5,2,0.266
97,Jackson Holliday,BAL,118,427,489,111,76,22,3,9,62,48,55,2,108,3,2,2,10,3,0.259
98,James Outman,LAD,130,455,523,106,64,20,3,19,72,64,55,1,166,10,3,0,12,3,0.233
99,Brandon Lowe,TBR,114,417,478,99,55,20,1,22,63,65,50,1,125,7,3,0,6,1,0.237
100,Ryan Jeffers,MIN,103,339,385,81,48,15,1,17,46,48,36,1,107,6,2,2,2,1,0.24
101,Byron Buxton,MIN,106,397,444,92,44,22,2,25,65,63,38,1,133,6,3,0,10,2,0.233
102,Danny Jansen,TOR,95,318,359,75,40,16,0,19,46,54,31,1,73,7,3,1,1,0,0.236
103,Cody Bellinger,CHC,136,540,599,140,86,28,2,23,83,83,48,3,119,4,7,0,17,4,0.259
104,Christian Walker,ARI,149,556,630,141,82,29,2,28,81,91,61,2,127,7,5,0,7,2,0.253
105,Lars Nootbaar,STL,122,436,512,110,70,21,2,17,71,58,68,2,103,2,5,1,9,2,0.253
106,Vinnie Pasquantino,KCR,132,492,561,135,82,31,2,20,68,74,59,3,71,6,4,0,1,1,0.274
107,Daulton Varsho,TOR,139,498,552,116,67,24,3,23,69,68,44,1,128,5,3,2,15,4,0.233
108,Davis Schneider,TOR,99,348,404,81,44,19,1,17,50,50,48,0,113,5,3,1,5,1,0.233
109,Tommy Edman,STL,133,495,542,129,87,27,4,12,72,54,36,1,88,6,3,2,27,5,0.261
110,Francisco Alvarez,NYM,124,417,471,95,54,17,0,24,57,66,45,1,123,6,2,0,2,1,0.228
111,Nathaniel Lowe,TEX,151,567,645,153,102,29,2,20,79,77,70,2,147,4,3,1,2,1,0.27
112,Jack Suwinski,PIT,128,443,519,101,54,20,2,24,65,68,65,2,160,5,4,1,10,3,0.227
113,Shea Langeliers,OAK,120,419,461,93,51,19,2,21,49,57,34,1,132,4,3,1,3,1,0.221
114,Anthony Santander,BAL,140,551,612,137,78,29,1,28,76,87,48,1,132,8,4,1,3,1,0.248
115,Elly De La Cruz,CIN,133,513,563,128,76,25,6,20,79,68,44,2,179,3,2,1,36,8,0.249
116,Gavin Lux,LAD,112,396,445,104,70,20,4,10,58,48,43,1,92,2,3,1,8,2,0.262
117,Max Kepler,MIN,126,455,516,112,66,24,2,20,67,65,51,1,102,5,4,0,3,1,0.246
118,Vaughn Grissom,BOS,132,477,532,133,94,27,3,10,65,59,41,1,90,9,4,1,12,3,0.28
119,Thairo Estrada,SFG,133,521,568,136,94,25,3,15,70,59,32,0,112,11,3,1,23,6,0.261
120,Jordan Westburg,BAL,110,389,431,98,62,22,2,12,51,50,34,0,106,5,3,1,7,2,0.253
121,Maikel Garcia,KCR,131,490,542,131,96,26,3,7,66,51,43,0,111,2,5,2,23,6,0.268
122,TJ Friedl,CIN,130,480,545,122,80,22,6,15,72,59,47,0,92,10,5,4,22,5,0.255
123,Brandon Marsh,PHI,125,427,486,109,70,22,4,13,58,54,50,1,149,4,3,2,12,3,0.255
124,Trevor Story,BOS,122,460,509,110,64,25,2,18,65,64,40,2,146,6,3,0,20,5,0.238
125,Luis Rengifo,LAA,132,482,531,124,82,21,3,17,64,60,37,1,95,6,4,2,8,3,0.256
126,Eugenio Suárez,ARI,141,516,594,120,72,23,1,23,68,79,62,0,176,10,6,0,1,0,0.232
127,Jeff McNeil,NYM,134,506,559,141,102,28,2,9,64,55,36,1,61,12,3,1,6,1,0.28
128,Tyler Stephenson,CIN,112,377,423,97,66,19,1,12,50,51,38,1,103,5,3,0,1,0,0.257
129,Yoán Moncada,CHW,131,490,544,121,77,26,1,17,61,62,46,1,150,5,3,1,2,1,0.248
130,Spencer Torkelson,DET,148,551,628,134,74,29,1,29,80,84,64,1,151,7,5,0,3,1,0.243
131,Teoscar Hernández,LAD,132,513,557,134,80,26,1,26,71,83,35,1,161,6,3,0,7,2,0.261
132,Josh Lowe,TBR,134,496,545,127,77,30,3,17,69,69,43,2,148,3,3,1,26,4,0.257
133,Tyler O'Neill,BOS,125,451,507,113,67,22,1,22,67,66,47,0,137,6,4,0,13,3,0.251
134,Keibert Ruiz,WSN,124,459,500,121,81,24,0,15,53,60,32,1,54,6,3,1,2,1,0.263
135,Josh Naylor,CLE,133,509,560,142,90,30,0,21,65,86,41,6,81,5,5,0,8,3,0.279
136,Anthony Rendon,LAA,103,370,434,94,62,20,1,11,51,52,51,1,72,7,5,0,3,1,0.255
137,Salvador Perez,KCR,131,504,540,129,81,22,1,25,61,81,22,3,127,10,5,0,0,0,0.256
138,Patrick Bailey,SFG,105,367,406,84,56,18,1,9,40,45,32,1,107,3,3,2,2,1,0.23
139,Alec Bohm,PHI,141,544,595,149,103,28,1,16,72,77,40,1,102,5,6,1,4,1,0.273
140,Rhys Hoskins,MIL,133,492,570,117,63,26,1,26,74,78,67,0,142,6,4,1,2,1,0.239
141,Alek Thomas,ARI,125,442,482,114,76,23,5,10,59,52,30,1,95,5,4,2,10,3,0.259
142,Ryan McMahon,COL,143,527,597,129,79,27,2,22,75,73,62,1,172,4,4,0,6,3,0.245
143,Leody Taveras,TEX,123,443,484,113,75,23,3,12,59,53,34,1,110,2,3,2,14,4,0.255
144,Colt Keith,DET,119,441,489,113,72,24,3,14,56,59,40,1,111,3,3,1,3,1,0.257
145,Christopher Morel,CHC,129,479,533,116,65,22,4,26,72,73,45,0,163,4,3,2,10,3,0.242
146,Jorge Soler,SFG,130,485,557,117,65,22,0,29,71,77,62,2,140,6,4,1,1,0,0.242
147,Sal Frelick,MIL,133,492,550,131,94,25,4,8,68,55,49,1,80,5,4,1,17,4,0.267
