#,Name,Team,W,L,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
709,Luis Perdomo,,1,1,4.68,19,0,0,1,19.1,84,20,11,10,3,7,0,1,15
710,Nick Vespi,BAL,2,1,4.16,23,0,0,1,26,111,26,13,12,4,9,1,1,23
711,Alex Reyes,,1,1,4.48,12,0,0,0,12.1,54,10,7,6,2,7,0,1,14
712,Trey Wingenter,DET,1,1,4.62,25,0,0,1,25,109,24,14,13,3,11,0,2,28
713,Marc Church,TEX,3,2,4.51,29,0,0,1,31.2,139,30,17,16,5,15,0,1,33
714,Matt Gage,LAD,1,1,4.19,19,0,0,1,20.2,91,20,11,10,3,9,1,1,20
715,Brett Kerry,LAA,0,1,5.41,1,1,0,0,6.1,27,7,4,4,1,2,0,0,4
716,Jay Groome,,1,2,4.96,9,3,0,1,21.2,97,22,13,12,3,11,0,1,18
717,Alex Speas,CHW,1,6,4.6,31,0,0,4,31.1,139,27,17,16,4,19,3,1,37
718,Adrian Sampson,,0,1,3.91,2,1,0,0,6.2,30,7,3,3,1,3,0,0,5
719,Ken Giles,ATL,1,1,5.09,15,0,0,1,14.2,66,15,9,8,2,8,0,1,17
720,Nic Enright,CLE,1,1,4.28,9,0,0,1,8.2,37,8,5,4,1,3,0,0,8
721,Reed Garrett,NYM,1,1,4.72,13,0,0,1,14.1,64,15,8,8,2,7,0,1,13
722,Austin Schulfer,MIN,0,0,4.84,5,0,0,0,5.1,23,5,3,3,1,2,0,0,5
723,Corey Knebel,,2,2,4.31,26,0,4,1,25.2,112,23,13,12,3,13,1,1,26
724,Michael Kelly,OAK,2,2,4.3,32,0,0,1,34.1,151,32,18,16,4,18,0,2,36
725,Bryan Mata,BOS,2,4,4.88,36,4,0,3,55.1,253,56,33,30,6,34,0,3,51
726,Ronny Henriquez,MIN,0,1,4.67,8,0,0,1,9.1,42,9,5,5,1,4,0,1,8
727,Colton Gordon,HOU,1,0,4.27,7,0,0,1,6.2,28,6,3,3,1,2,0,0,6
728,Shawn Dubin,HOU,1,1,4.24,18,0,0,1,23.1,102,21,12,11,3,11,0,1,25
729,Jacob Barnes,WSN,0,1,5.07,14,0,0,1,15.1,67,16,9,9,2,6,0,1,12
730,Frank German,BOS,0,0,5.09,6,0,0,0,6.2,29,7,4,4,1,3,0,0,7
731,Cody Bolton,SEA,1,1,4.54,17,0,0,1,20,87,19,11,10,2,8,0,1,19
732,Michael Plassmeyer,PIT,0,1,4.48,10,0,0,1,12,52,12,6,6,2,4,0,2,10
733,Justin Bruihl,,1,1,4.76,9,0,0,1,9.2,42,10,6,5,1,4,0,1,8
