#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP,InterSD,InterSK,IntraSD
53,Ezequiel Duran,TEX,82,314,291,74,16,2,10,38,36,17,82,4,6,2,5.50%,26.10%,0.168,0.319,0.254,0.303,0.422,0.725,0.312,95,343,3.73,0.75,0.97
54,Jorge Mateo,BAL,60,219,202,47,10,2,5,29,21,12,55,2,16,3,5.50%,25.20%,0.14,0.294,0.232,0.28,0.372,0.653,0.283,79,509.8,3.68,1.01,1.61
55,Colson Montgomery,CHW,52,214,186,43,8,1,5,24,21,22,50,4,1,0,10.20%,23.50%,0.132,0.291,0.234,0.325,0.366,0.691,0.306,91,999,1.63,-0.1,1.23
56,Miguel Rojas,LAD,69,268,246,62,12,1,4,29,25,16,33,3,5,2,6.00%,12.50%,0.103,0.277,0.252,0.303,0.355,0.659,0.289,80,741.7,4.01,-0.88,1.3
57,Liover Peguero,PIT,105,408,377,92,17,2,10,45,41,24,107,2,13,3,5.90%,26.10%,0.138,0.312,0.244,0.292,0.382,0.674,0.292,80,396.2,1.76,0.24,0.89
58,Josh Smith,TEX,52,183,157,36,8,1,4,22,17,19,40,5,3,1,10.10%,22.10%,0.144,0.278,0.229,0.325,0.373,0.698,0.31,93,738.2,3.04,-0.04,1.39
59,Edmundo Sosa,PHI,62,219,203,50,10,2,6,26,24,8,52,6,4,1,3.80%,23.70%,0.146,0.305,0.247,0.296,0.394,0.69,0.299,85,747.9,3.89,0.28,1.29
60,Taylor Walls,TBR,74,285,248,51,12,1,6,34,26,33,73,1,12,3,11.50%,25.80%,0.127,0.268,0.207,0.301,0.334,0.635,0.284,77,532.3,2.62,0.36,1.2
61,Nicky Lopez,CHW,109,403,358,87,14,2,2,44,28,33,60,5,11,3,8.10%,14.90%,0.066,0.287,0.243,0.313,0.309,0.622,0.28,74,615.5,3.62,2,1.22
62,Nick Allen,OAK,68,246,224,52,10,1,3,24,17,15,42,1,5,2,6.30%,17.10%,0.089,0.275,0.233,0.286,0.322,0.608,0.269,72,733.7,2.92,-0.29,1.39
63,Paul DeJong,CHW,93,355,323,66,13,0,13,37,39,24,106,5,4,2,6.80%,29.80%,0.163,0.256,0.204,0.268,0.367,0.635,0.277,72,578.6,2.41,0.01,0.73
64,Oswald Peraza,NYY,55,214,194,45,8,1,5,25,21,15,50,4,7,2,6.90%,23.30%,0.124,0.289,0.234,0.299,0.358,0.657,0.29,81,556.3,4.99,-1.26,1.37
65,Enrique Hernández,LAD,81,342,308,72,16,1,8,39,39,26,65,3,2,1,7.70%,19.00%,0.14,0.268,0.235,0.299,0.375,0.674,0.295,84,575.8,4.14,0.44,0.62
66,Wander Franco,TBR,11,48,44,12,3,0,1,7,6,4,6,0,2,1,8.20%,12.50%,0.175,0.302,0.286,0.347,0.461,0.808,0.347,120,740.5,2.86,2.03,2.02
